1,1,12
2,1,22
3,1,31
4,1,34
5,1,42
6,1,52
7,1,61
8,2,9
9,2,22
10,2,27
11,2,33
12,2,34
13,2,48
14,2,52
15,2,61
16,2,63
17,3,10
18,3,13
19,3,23
20,3,38
21,3,40
22,3,60
23,4,39
24,5,18
25,5,20
26,5,26
27,5,35
28,5,51
29,5,59
30,6,15
31,6,18
32,6,28
33,6,35
34,6,51
35,7,1
36,7,2
37,7,4
38,7,5
39,7,9
40,7,10
41,7,11
42,7,15
43,7,16
44,7,17
45,7,19
46,7,20
47,7,21
48,7,22
49,7,24
50,7,25
51,7,27
52,7,28
53,7,30
54,7,32
55,7,33
56,7,34
57,7,35
58,7,36
59,7,37
60,7,38
61,7,39
62,7,41
63,7,43
64,7,45
65,7,46
66,7,48
67,7,49
68,7,51
69,7,52
70,7,54
71,7,55
72,7,58
73,7,59
74,7,61
75,7,63
76,8,8
77,8,14
78,8,53
79,9,4
80,9,8
81,9,14
82,9,29
83,9,53
84,10,50
85,10,56
86,11,3
87,11,7
88,11,8
89,11,12
90,11,14
91,11,23
92,11,26
93,11,29
94,11,42
95,11,44
96,11,47
97,11,53
98,12,6
99,12,57
100,12,62
101,13,7
102,13,13
103,14,2
104,14,5
105,14,19
106,14,30
107,14,49
108,14,58
109,15,31
110,15,37
111,15,42
112,16,40
